Elapsed time,vals
0.74,-17.449
0.742,-15.601
0.744,-12.987
0.746,-10.36
0.748,-8.233
0.75,-6.057
0.752,-4.664
0.754,-3.687
0.756,-3.409
0.758,-1.964
0.76,-0.843
0.762,0.93
0.764,2.941
0.766,4.658
0.768,6.208
0.77,7.267
0.772,6.74
0.774,6.913
0.776,4.971
0.778,2.148
0.78,-0.914
0.782,-3.622
0.784,-6.337
0.786,-8.88
0.788,-10.818
0.79,-11.637
0.792,-12.596
0.794,-12.645
0.796,-12.662
0.798,-12.996
0.8,-13.476
0.802,-13.91
0.804,-14.944
0.806,-16.062
0.808,-17.486
0.81,-18.017
0.812,-18.756
0.814,-18.816
0.816,-17.829
0.818,-16.792
0.82,-14.789
0.822,-12.747
0.824,-10.917
0.826,-9.421
0.828,-8.706
0.83,-8.484
0.832,-9.047
0.834,-9.071
0.836,-9.575
0.838,-9.322
0.84,-10.314
0.842,-11.079
0.844,-12.551
0.846,-14.86
0.848,-17.139
0.85,-19.378
0.852,-20.589
0.854,-20.637
0.856,-19.95
0.858,-18.542
0.86,-15.829
0.862,-13.392
0.864,-10.521
0.866,-7.508
0.868,-4.636
0.87,-2.99
0.872,-0.655
0.874,-0.163
0.876,0.688
0.878,1.037
0.88,0.647
0.882,-1.046
0.884,-2.851
0.886,-5.892
0.888,-8.206
0.89,-10.184
0.892,-11.489
0.894,-11.74
0.896,-11.435
0.898,-11.414
0.9,-11.725
0.902,-12.3
0.904,-12.913
0.906,-13.493
0.908,-13.604
0.91,-13.155
0.912,-12.975
0.914,-12.657
0.916,-11.965
0.918,-11.595
0.92,-10.224
0.922,-7.803
0.924,-4.39
0.926,-0.113
0.928,4.429
0.93,8.228
0.932,10.893
0.934,11.561
0.936,10.927
0.938,9.599
0.94,7.705
0.942,5.448
0.944,3.956
0.946,2.898
0.948,2.312
0.95,1.727
0.952,2.083
0.954,2.575
0.956,2.816
0.958,3.423
0.96,3.768
0.962,4.127
0.964,4.619
0.966,3.994
0.968,4.195
0.97,3.879
0.972,4.406
0.974,5.541
0.976,6.793
0.978,8.909
0.98,9.196
0.982,10.409
0.984,10.364
0.986,9.965
0.988,9.234
0.99,9.523
0.992,8.811
0.994,8.617
0.996,8.344
0.998,7.748
1,7.097
1.002,6.682
1.004,6.549
1.006,7.674
1.008,9.169
1.01,11.056
1.012,12.706
1.014,14.417
1.016,15.002
1.018,15.872
1.02,15.422
1.022,14.638
1.024,13.411
1.026,11.934
1.028,10.934
1.03,9.511
1.032,7.767
1.034,6.88
1.036,5.111
1.038,4.488
1.04,2.63
1.042,1.956
1.044,1.326
1.046,1.039
1.048,1.318
1.05,1.391
1.052,0.16
1.054,0.034
1.056,-0.501
1.058,-0.745
1.06,-0.667
1.062,0.058
1.064,0.795
1.066,2.002
1.068,2.525
1.07,2.785
1.072,2.885
1.074,2.542
1.076,1.817
1.078,1.804
1.08,1.273
1.082,0.646
1.084,0.377
1.086,-0.452
1.088,-2.222
1.09,-2.556
1.092,-3.655
1.094,-3.499
1.096,-3.732
1.098,-3.712
1.1,-3.73
1.102,-4.903
1.104,-5.991
1.106,-7.92
1.108,-9.603
1.11,-10.845
1.112,-11.578
1.114,-10.657
1.116,-9.106
1.118,-6.483
1.12,-3.419
1.122,-0.86
1.124,1.273
1.126,2.346
1.128,3.457
1.13,3.451
1.132,3.165
1.134,2.556
1.136,1.765
1.138,0.153
1.14,-1.976
1.142,-3.967
1.144,-5.657
1.146,-6.612
1.148,-6.878
1.15,-6.066
1.152,-4.664
1.154,-3.482
1.156,-2.097
1.158,-0.028
1.16,1.429
1.162,3.392
1.164,4.758
1.166,5.649
1.168,5.391
1.17,4.207
1.172,2.918
1.174,1.266
1.176,-0.026
1.178,-1.029
1.18,-1.051
1.182,-0.247
1.184,0.555
1.186,1.664
1.188,2.69
1.19,3.038
1.192,3.021
1.194,2.117
1.196,1.218
1.198,0.621
1.2,-0.084
1.202,0.082
1.204,0.638
1.206,1.301
1.208,2.894
1.21,4.872
1.212,6.093
1.214,8.122
1.216,9.507
1.218,10.876
1.22,12.026
1.222,12.026
1.224,12.321
1.226,12.322
1.228,12.701
1.23,12.603
1.232,12.284
1.234,12.259
1.236,11.009
1.238,9.813
1.24,8.187
1.242,7.349
1.244,6.428
1.246,6.494
1.248,6.773
1.25,7.566
1.252,8.339
1.254,9.971
1.256,10.951
1.258,12.348
1.26,12.952
1.262,12.416
1.264,11.667
1.266,10.186
1.268,9.6
1.27,8.818
1.272,9.028
1.274,9.211
1.276,9.368
1.278,9.518
1.28,9.062
1.282,7.7
1.284,6.038
1.286,4.72
1.288,3.707
1.29,2.775
1.292,2.763
1.294,2.79
1.296,3.666
1.298,4.462
1.3,4.982
1.302,5.318
1.304,5.192
1.306,5.018
1.308,3.653
1.31,2.388
1.312,0.697
1.314,-1.003
1.316,-2.207
1.318,-3.008
1.32,-2.31
1.322,-0.608
1.324,1.153
1.326,2.476
1.328,3.376
1.33,3.297
1.332,3.019
1.334,2.147
1.336,1.611
1.338,0.856
1.34,1.465
1.342,2.478
1.344,4.174
1.346,5.674
1.348,7.409
1.35,8.657
1.352,9.071
1.354,9.186
1.356,8.906
1.358,9.11
1.36,8.739
1.362,9.03
1.364,8.935
1.366,8.796
1.368,8.864
1.37,8.608
1.372,7.95
1.374,6.349
1.376,4.06
1.378,1.526
1.38,-1.318
1.382,-3.513
1.384,-5.229
1.386,-5.824
1.388,-5.293
1.39,-4.562
1.392,-3.954
1.394,-2.542
1.396,-2.087
1.398,-2.433
1.4,-2.808
1.402,-4.312
1.404,-4.6
1.406,-4.641
1.408,-4.522
1.41,-3.367
1.412,-2.419
1.414,-0.629
1.416,0.651
1.418,1.805
1.42,2.179
1.422,2.331
1.424,2.024
1.426,1.74
1.428,1.111
1.43,0.561
1.432,-0.023
1.434,0.032
1.436,0.103
1.438,-0.12
1.44,0.499
1.442,-0.523
1.444,-1.658
1.446,-2.744
1.448,-4.19
1.45,-5.786
1.452,-5.892
1.454,-5.767
1.456,-4.118
1.458,-1.315
1.46,0.958
1.462,3.818
1.464,5.116
1.466,5.966
1.468,5.138
1.47,3.605
1.472,1.888
1.474,0.05
1.476,-0.833
1.478,-1.103
1.48,-1.204
1.482,-0.46
1.484,0.199
1.486,0.984
1.488,1.389
1.49,1.762
1.492,1.48
1.494,0.359
1.496,-1.757
1.498,-3.703
1.5,-5.83
1.502,-7.425
1.504,-8.467
1.506,-8.908
1.508,-8.085
1.51,-6.408
1.512,-3.974
1.514,-1.635
1.516,1.348
1.518,3.234
1.52,5.146
1.522,6.374
1.524,7.018
1.526,6.809
1.528,6.604
1.53,6.275
1.532,5.72
1.534,5.604
1.536,5.548
1.538,5.634
1.54,6.001
1.542,7.467
1.544,9.082
1.546,10.98
1.548,13.073
1.55,14.299
1.552,15.13
1.554,15.302
1.556,15.198
1.558,15.216
1.56,15.099
1.562,14.675
1.564,13.579
1.566,13.007
1.568,12.591
1.57,11.586
1.572,10.782
1.574,9.523
1.576,9.275
1.578,8.125
1.58,7.507
1.582,7.213
1.584,7.14
1.586,7.324
1.588,8.224
1.59,9.418
1.592,10.274
1.594,11.825
1.596,12.106
1.598,12.649
1.6,12.902
1.602,12.701
1.604,12.125
1.606,12.141
1.608,12.803
1.61,13.441
1.612,14.501
1.614,15.513
1.616,15.923
1.618,15.828
1.62,14.612
1.622,13.477
1.624,10.527
1.626,9.011
1.628,7.85
1.63,6.396
1.632,5.657
1.634,4.837
1.636,4.446
1.638,3.647
1.64,3.629
1.642,3.364
1.644,3.313
1.646,3.486
1.648,3.332
1.65,3.249
1.652,2.796
1.654,2.007
1.656,1.643
1.658,0.202
1.66,-0.746
1.662,-2.28
1.664,-3.251
1.666,-4.762
1.668,-6.08
1.67,-7.872
1.672,-9.385
1.674,-10.735
1.676,-11.07
1.678,-10.517
1.68,-8.956
1.682,-6.352
1.684,-3.488
1.686,-0.816
1.688,1.202
1.69,2.754
1.692,3.503
1.694,3.153
1.696,2.959
1.698,1.223
1.7,-0.444
1.702,-2.803
1.704,-5.372
1.706,-7.662
1.708,-9.531
1.71,-10.106
1.712,-9.7
1.714,-8.186
1.716,-6.031
1.718,-3.471
1.72,-0.828
1.722,1.203
1.724,2.842
1.726,4.307
1.728,5.074
1.73,5.483
1.732,5.327
1.734,5.008
1.736,4.17
1.738,3.423
1.74,2.779
1.742,2.916
1.744,3.439
1.746,4.165
1.748,5.813
1.75,7.3
1.752,9.882
1.754,11.864
1.756,14.468
1.758,17.265
1.76,19.637
1.762,20.445
1.764,20.496
1.766,18.796
1.768,15.573
1.77,12.266
1.772,9.315
1.774,6.672
1.776,4.32
1.778,2.367
1.78,-0.041
1.782,-1.159
1.784,-2.491
1.786,-3.31
1.788,-3.34
1.79,-2.716
1.792,-3.626
1.794,-3.846
1.796,-4.238
1.798,-4.612
1.8,-4.446
1.802,-4.165
1.804,-3.642
1.806,-3.566
1.808,-4.253
1.81,-4.407
1.812,-6.382
1.814,-7.871
1.816,-9.73
1.818,-11.456
1.82,-11.705
1.822,-12.221
1.824,-11.841
1.826,-11.714
1.828,-11.109
1.83,-10.22
1.832,-9.392
1.834,-8.72
1.836,-7.819
1.838,-7.443
1.84,-7.521
1.842,-7.243
1.844,-6.229
1.846,-5.26
1.848,-4.239
1.85,-3.492
1.852,-3.392
1.854,-3.667
1.856,-4.8
1.858,-6.149
1.86,-7.663
1.862,-8.498
1.864,-8.813
1.866,-9.091
1.868,-9.121
1.87,-9.35
1.872,-10.602
1.874,-11.931
1.876,-12.334
1.878,-11.815
1.88,-11.729
1.882,-10.488
1.884,-8.602
1.886,-7.159
1.888,-6.01
1.89,-5.671
1.892,-4.676
1.894,-4.027
1.896,-3.158
1.898,-2.523
1.9,-1.959
1.902,-1.792
1.904,-2.759
1.906,-2.545
1.908,-3.356
1.91,-2.532
1.912,-2.441
